Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Additional_Notes
00-TM4:bin_000083	90.02	5.56	Gradient Boost (General Model)	11	0.927	9509	275.6112198303979	1364033	0.32	1533	None
00-TM4:bin_000086	91.17	4.72	Neural Network (Specific Model)	11	0.887	19213	316.8409362311918	4478151	0.51	4187	None
00-TM4:bin_000092	79.89	0.75	Gradient Boost (General Model)	11	0.858	4081	262.4228426395939	1806014	0.63	1970	None
00-TM4:bin_000093	89.34	9.65	Gradient Boost (General Model)	11	0.906	9221	270.7249329758713	1668227	0.29	1865	None
00:bin_000021	99.99	3.6	Neural Network (Specific Model)	11	0.884	17095	296.3563145688383	4762275	0.51	4743	None
00:bin_000101	96.89	6.6	Gradient Boost (General Model)	11	0.889	13901	269.095906782193	3031275	0.31	3347	None
00:bin_000115	93.31	0.02	Gradient Boost (General Model)	11	0.9	11085	309.89332003988034	2069305	0.53	2006	None
00:bin_000125	87.97	0.41	Gradient Boost (General Model)	11	0.882	10981	308.2691432903715	1379970	0.58	1319	None
00:bin_000140	87.81	1.34	Gradient Boost (General Model)	11	0.895	24964	317.49201495073055	3127039	0.54	2943	None
00:bin_000147	90.73	5.18	Gradient Boost (General Model)	11	0.858	21980	251.83545150501672	1309709	0.28	1495	None
00:bin_000170	86.49	5.1	Gradient Boost (General Model)	11	0.888	37975	307.36130718954246	3963505	0.51	3825	None
00:bin_000172	82.65	0.64	Gradient Boost (General Model)	11	0.927	14907	307.7661188369153	2357927	0.5	2373	None
00:bin_000201	88.91	0.36	Neural Network (Specific Model)	11	0.888	17919	318.13962089690244	2320021	0.61	2163	None
00:bin_000213	89.28	3.05	Neural Network (Specific Model)	11	0.889	15211	301.14594998133634	2715809	0.46	2679	None
00:bin_000254	79.78	5.7	Gradient Boost (General Model)	11	0.853	28126	279.01015228426394	1349492	0.3	1379	None
00:bin_000261	84.59	15.84	Gradient Boost (General Model)	11	0.881	38485	282.9574074074074	1558097	0.29	1620	None
00:bin_000263	65.69	4.13	Gradient Boost (General Model)	11	0.91	9264	261.32315711094566	1154117	0.27	1343	None
00:bin_000305	53.27	1.56	Gradient Boost (General Model)	11	0.887	3125	247.64954954954956	1857093	0.59	2220	None
07-TM1:bin_000014	99.35	2.52	Neural Network (Specific Model)	11	0.905	160248	386.2697616060226	6118335	0.43	4782	None
07-TM1:bin_000019	75.91	0.46	Gradient Boost (General Model)	11	0.893	5080	274.76594594594593	1704258	0.56	1850	None
07-TM1:bin_000021	82.9	2.04	Gradient Boost (General Model)	11	0.901	4136	277.83580387685294	809633	0.37	877	None
07-TM2:bin_000029	86.31	4.84	Gradient Boost (General Model)	11	0.899	37229	295.90005491488193	1794736	0.29	1821	None
07-TM2:bin_000042	61.56	0.19	Gradient Boost (General Model)	11	0.871	2972	267.8049363057325	1156690	0.51	1256	None
07-TM4:bin_000024	94.1	0.51	Gradient Boost (General Model)	11	0.846	18555	334.6253948199621	1875610	0.51	1583	None
07-TM4:bin_000025	97.28	0.18	Gradient Boost (General Model)	11	0.901	120440	323.8051087984863	3411297	0.48	3171	None
07-TM4:bin_000043	95.79	2.72	Gradient Boost (General Model)	11	0.908	26404	328.7310104529617	3108709	0.53	2870	None
07-TM4:bin_000045	90.34	0.46	Gradient Boost (General Model)	11	0.898	64283	311.627950310559	1671917	0.39	1610	None
07-TM4:bin_000097	95.69	5.17	Gradient Boost (General Model)	11	0.854	26202	322.87617260787994	1206898	0.32	1066	None
07-TM4:bin_000150	90.78	39.81	Gradient Boost (General Model)	11	0.863	5812	266.556953417205	2720209	0.29	2941	None
07:bin_000019	100.0	0.0	Gradient Boost (General Model)	11	0.749	64894	276.8297957549059	2762107	0.35	2497	None
07:bin_000032	91.64	1.23	Gradient Boost (General Model)	11	0.864	28944	340.1301671064204	2680056	0.52	2274	None
07:bin_000033	99.73	0.68	Neural Network (Specific Model)	11	0.894	51896	310.4989281886388	1942513	0.33	1866	None
07:bin_000054	96.57	2.02	Gradient Boost (General Model)	11	0.882	9898	297.3629222309505	2569593	0.6	2546	None
07:bin_000110	91.94	7.07	Gradient Boost (General Model)	11	0.868	39379	247.6105044201768	1636097	0.26	1923	None
07:bin_000156	84.02	9.45	Gradient Boost (General Model)	11	0.861	14348	279.6438995913602	1667368	0.29	1713	None
07:bin_000170	80.54	7.13	Gradient Boost (General Model)	11	0.864	13089	280.07270693512305	2603070	0.55	2682	None
07:bin_000199	71.83	1.53	Gradient Boost (General Model)	11	0.905	4142	274.8719160104987	1730891	0.49	1905	None
07:bin_000204	65.39	2.55	Gradient Boost (General Model)	11	0.892	5471	274.50040032025623	1151466	0.27	1249	None
14-TM1:bin_000055	72.25	1.67	Gradient Boost (General Model)	11	0.859	4119	296.6534582132565	1435570	0.52	1388	None
14-TM2:bin_000054	81.98	6.49	Gradient Boost (General Model)	11	0.905	4566	272.5340464388208	3453660	0.53	3833	None
14-TM2:bin_000061	64.2	0.81	Gradient Boost (General Model)	11	0.912	3319	254.492972410203	1604892	0.44	1921	None
14-TM4:bin_000023	99.83	3.56	Gradient Boost (General Model)	11	0.903	67937	327.5885416666667	3338117	0.49	3072	None
14-TM4:bin_000040	82.98	4.94	Neural Network (Specific Model)	11	0.871	7062	261.1851689337429	2045750	0.37	2279	None
14-TM4:bin_000044	99.5	3.44	Neural Network (Specific Model)	11	0.874	27065	306.0977278948809	3832314	0.47	3653	None
14-TM4:bin_000061	100.0	18.85	Neural Network (Specific Model)	11	0.9	147878	362.55932551922683	5867140	0.42	4863	None
14-TM4:bin_000076	90.25	1.74	Gradient Boost (General Model)	11	0.903	5416	275.47037701974864	2543239	0.56	2785	None
14-TM4:bin_000081	90.63	0.29	Gradient Boost (General Model)	11	0.923	22447	310.1	2745225	0.5	2730	None
14-TM4:bin_000093	90.34	3.8	Gradient Boost (General Model)	11	0.854	6634	286.9407142857143	1407889	0.35	1400	None
14-TM4:bin_000112	76.12	5.1	Neural Network (Specific Model)	11	0.901	152113	374.77114998566105	4347843	0.43	3487	None
14:bin_000030	97.25	1.73	Gradient Boost (General Model)	11	0.899	85460	320.705986959099	3604402	0.47	3374	None
14:bin_000047	94.41	0.64	Neural Network (Specific Model)	11	0.917	24235	297.51489600899384	1727382	0.38	1779	None
14:bin_000059	97.43	7.05	Gradient Boost (General Model)	11	0.853	8779	270.89967520750633	2634678	0.56	2771	None
14:bin_000063	93.81	2.54	Gradient Boost (General Model)	11	0.878	7244	273.0786467486819	2120237	0.61	2276	None
14:bin_000110	89.97	4.17	Gradient Boost (General Model)	11	0.881	56061	288.90856777493605	1534867	0.28	1564	None
14:bin_000140	95.63	10.71	Neural Network (Specific Model)	11	0.903	17799	304.5819379632171	3679496	0.49	3643	None
14:bin_000146	93.05	1.77	Neural Network (Specific Model)	11	0.874	27088	304.66235489220566	3148943	0.47	3015	None
14:bin_000153	94.64	10.76	Neural Network (Specific Model)	11	0.894	17863	294.63415919873484	3743147	0.46	3794	None
14:bin_000164	66.67	0.13	Gradient Boost (General Model)	11	0.867	6548	314.3051897753679	1401405	0.55	1291	None
14:bin_000173	59.19	1.89	Gradient Boost (General Model)	11	0.912	3056	250.5907417148869	1563187	0.44	1901	None
14:bin_000176	66.87	3.6	Gradient Boost (General Model)	11	0.899	3966	267.33169811320755	2360360	0.53	2650	None
14:bin_000186	56.06	1.57	Gradient Boost (General Model)	11	0.892	3871	260.08474576271186	2008957	0.49	2301	None
21-TM1:bin_000010	95.66	4.62	Gradient Boost (General Model)	11	0.844	19711	319.7471124620061	1866582	0.51	1645	None
21-TM1:bin_000039	90.04	1.93	Gradient Boost (General Model)	11	0.832	6217	268.61975209916034	2417510	0.59	2501	None
21-TM1:bin_000083	94.17	8.96	Neural Network (Specific Model)	11	0.89	24024	308.6174068402246	4066100	0.45	3918	None
21-TM1:bin_000085	78.58	4.02	Neural Network (Specific Model)	11	0.904	147068	375.530199252802	3999694	0.41	3212	None
21-TM1:bin_000096	93.15	4.17	Gradient Boost (General Model)	11	0.893	10193	313.9559110417479	2697468	0.49	2563	None
21-TM2:bin_000034	79.88	2.19	Gradient Boost (General Model)	11	0.848	8565	285.94577205882354	2197298	0.64	2176	None
21-TM2:bin_000046	74.45	4.64	Gradient Boost (General Model)	11	0.865	3574	285.5148387096774	1532646	0.59	1550	None
21-TM4:bin_000006	98.94	1.07	Neural Network (Specific Model)	11	0.913	364562	310.16441658630663	2109640	0.37	2074	None
21-TM4:bin_000016	94.99	0.0	Gradient Boost (General Model)	11	0.845	18028	333.70319945541183	1737821	0.52	1469	None
21-TM4:bin_000079	99.87	10.22	Neural Network (Specific Model)	11	0.898	28565	310.62703695203123	4512161	0.46	4357	None
21-TM4:bin_000092	89.49	12.87	Gradient Boost (General Model)	11	0.89	7877	256.7407063197026	1856327	0.28	2152	None
21:bin_000014	98.74	0.34	Neural Network (Specific Model)	11	0.916	40265	298.52367205542726	1689833	0.38	1732	None
21:bin_000027	97.67	3.65	Gradient Boost (General Model)	11	0.885	14924	302.817880794702	3092338	0.59	3020	None
21:bin_000031	97.24	2.37	Gradient Boost (General Model)	11	0.889	91147	306.04928229665074	2153130	0.43	2090	None
21:bin_000048	98.04	2.28	Gradient Boost (General Model)	11	0.896	112141	320.1435600578871	3696192	0.47	3455	None
21:bin_000059	97.12	3.34	Gradient Boost (General Model)	11	0.903	20981	314.9263295553618	2394255	0.52	2294	None
21:bin_000061	95.45	2.73	Gradient Boost (General Model)	11	0.83	8328	275.851570964247	2755164	0.58	2769	None
21:bin_000124	93.9	2.84	Gradient Boost (General Model)	11	0.879	11220	268.63185041908446	1418837	0.27	1551	None
21:bin_000132	91.01	6.95	Gradient Boost (General Model)	11	0.838	12054	273.72622478386165	1698331	0.26	1735	None
21:bin_000158	98.16	15.72	Neural Network (Specific Model)	11	0.901	118218	354.75395882818685	5955402	0.42	5052	None
21:bin_000167	90.46	6.29	Gradient Boost (General Model)	11	0.879	26532	289.0013468013468	1462576	0.3	1485	None
21:bin_000175	94.33	20.31	Gradient Boost (General Model)	11	0.84	23183	271.3937699680511	2422742	0.28	2504	None
21:bin_000193	80.17	2.84	Gradient Boost (General Model)	11	0.841	22860	290.80368828078525	1740234	0.28	1681	None
21:bin_000196	80.77	3.86	Gradient Boost (General Model)	11	0.922	4017	255.10673234811165	1008287	0.34	1218	None
21:bin_000210	67.72	6.44	Gradient Boost (General Model)	11	0.878	3446	258.5469039673712	2375799	0.49	2697	None
21:bin_000223	58.36	1.45	Gradient Boost (General Model)	11	0.911	3368	249.2040215792055	1669936	0.48	2039	None
D300693:bin_000002	98.22	0.33	Neural Network (Specific Model)	11	0.868	32801	295.72107824784723	2725672	0.45	2671	None
D300693:bin_000048	79.75	4.6	Gradient Boost (General Model)	11	0.899	3559	276.46314496314494	749613	0.31	814	None
D300693:bin_000058	61.75	6.91	Gradient Boost (General Model)	11	0.88	2549	259.09020771513354	1483882	0.5	1685	None
D300693:bin_000059	50.31	1.37	Gradient Boost (General Model)	11	0.924	2458	232.77939393939394	622293	0.33	825	None
D300694:bin_000002	99.79	0.11	Neural Network (Specific Model)	11	0.848	62616	316.0562200956938	2793770	0.59	2508	None
D300694:bin_000022	81.57	4.11	Gradient Boost (General Model)	11	0.891	11147	301.4446870451237	2784452	0.51	2748	None
D300695:bin_000021	90.96	2.36	Gradient Boost (General Model)	11	0.856	6423	271.23706896551727	2201787	0.57	2320	None
D300696:bin_000017	94.6	5.1	Gradient Boost (General Model)	11	0.861	5943	266.4412765957447	2177467	0.57	2350	None
D300696:bin_000025	88.21	1.66	Gradient Boost (General Model)	11	0.87	5792	278.58464730290456	2312428	0.37	2410	None
D300697:bin_000001	98.92	1.21	Neural Network (Specific Model)	11	0.867	16230	290.9168167086784	2789479	0.44	2777	None
D300700:bin_000012	85.51	3.15	Neural Network (Specific Model)	11	0.911	6398	289.63379814077024	2865139	0.49	3012	None
D300703:bin_000013	49.1	1.53	Neural Network (Specific Model)	11	0.881	2621	250.30936995153473	1052988	0.41	1238	None
D300705:bin_000015	97.44	0.14	Gradient Boost (General Model)	11	0.854	14028	286.33644444444445	2259999	0.57	2250	None
D300705:bin_000037	52.99	9.22	Gradient Boost (General Model)	11	0.903	8115	316.2543246227457	2850286	0.51	2717	None
D300706:bin_000012	99.35	0.73	Gradient Boost (General Model)	11	0.892	98722	346.5622119815668	1262858	0.32	1085	None
D300708:bin_000009	91.69	0.14	Neural Network (Specific Model)	11	0.847	20639	305.03308519437553	2603220	0.59	2418	None
D300708:bin_000021	94.02	5.48	Gradient Boost (General Model)	11	0.892	9053	300.36136906341204	3800706	0.53	3769	None
D300708:bin_000024	96.32	2.11	Neural Network (Specific Model)	11	0.889	94839	309.879932829555	3728108	0.46	3573	None
D300708:bin_000034	89.34	5.25	Neural Network (Specific Model)	11	0.891	34433	316.13400868306803	3672348	0.48	3455	None
D300708:bin_000047	100.0	52.08	Neural Network (Specific Model)	11	0.893	25747	319.82545141874465	6234372	0.45	5815	None
D300709:bin_000004	95.44	0.02	Neural Network (Specific Model)	11	0.848	25074	305.6927083333333	2689566	0.6	2496	None
D300709:bin_000006	93.67	3.7	Gradient Boost (General Model)	11	0.876	34507	326.89105263157893	2123832	0.55	1900	None
D300710:bin_000015	100.0	2.13	Neural Network (Specific Model)	11	0.893	169989	322.6880580357143	3878670	0.47	3584	None
D300712:bin_000016	97.25	2.41	Gradient Boost (General Model)	11	0.875	22867	297.35771508185303	2920980	0.58	2871	None
D300712:bin_000018	100.0	4.84	Gradient Boost (General Model)	11	0.895	48728	289.9706916764361	2483151	0.31	2559	None
D300712:bin_000043	57.01	1.91	Gradient Boost (General Model)	11	0.879	2754	268.41884057971015	631048	0.35	690	None
D300713:bin_000010	99.92	3.31	Neural Network (Specific Model)	11	0.894	31267	326.6743725231176	3311458	0.5	3028	None
D300713:bin_000020	80.97	0.11	Gradient Boost (General Model)	11	0.883	4592	287.75381414701803	1407674	0.57	1442	None
D300714:bin_000009	97.86	2.04	Gradient Boost (General Model)	11	0.918	42229	315.84331210191084	3231937	0.5	3140	None
D300717:bin_000003	57.09	1.21	Gradient Boost (General Model)	11	0.85	3344	251.72679601468275	1687799	0.58	1907	None
D300718:bin_000005	94.81	2.81	Gradient Boost (General Model)	11	0.889	16261	301.6507936507937	3392953	0.51	3339	None
D300719:bin_000002	99.64	1.63	Neural Network (Specific Model)	11	0.866	28376	295.9862965565706	2912315	0.44	2846	None
D300719:bin_000005	97.16	0.82	Gradient Boost (General Model)	11	0.879	91732	304.9075	2910296	0.54	2800	None
D300720:bin_000011	60.19	2.75	Gradient Boost (General Model)	11	0.902	2737	254.01240238860817	1835742	0.6	2177	None
D300720:bin_000013	56.64	6.36	Gradient Boost (General Model)	11	0.877	2471	244.78538102643856	1611895	0.57	1929	None
D300724:bin_000002	95.58	0.23	Neural Network (Specific Model)	11	0.848	26868	308.2482952266346	2709462	0.59	2493	None
D300724:bin_000008	93.58	2.35	Neural Network (Specific Model)	11	0.878	25727	316.16040716040715	3072609	0.36	2849	None
D300724:bin_000015	92.58	1.98	Neural Network (Specific Model)	11	0.915	147435	413.9170731707317	6115766	0.42	4510	None
D300729:bin_000013	99.85	17.69	Neural Network (Specific Model)	11	0.884	22983	293.4730122818358	6143819	0.43	6188	None
D300729:bin_000017	58.69	0.96	Gradient Boost (General Model)	11	0.891	3727	255.7558309037901	1178014	0.44	1372	None
D300730:bin_000018	91.76	2.07	Gradient Boost (General Model)	11	0.867	57542	276.63292488012786	1791687	0.28	1877	None
D300730:bin_000022	90.13	9.84	Gradient Boost (General Model)	11	0.852	5112	266.0114595898673	1549534	0.34	1658	None
D300731:bin_000010	95.58	0.91	Gradient Boost (General Model)	11	0.899	88634	315.9523518631643	1720731	0.39	1637	None
D300733:bin_000035	60.26	2.82	Gradient Boost (General Model)	11	0.876	2742	240.54192115491395	1481459	0.61	1801	None
D300733:bin_000038	65.75	8.47	Gradient Boost (General Model)	11	0.886	2584	239.83559247923043	1854227	0.37	2287	None
D300741:bin_000004	99.98	5.0	Neural Network (Specific Model)	11	0.892	157018	356.90530215327624	5178131	0.43	4319	None
D300745:bin_000003	97.19	0.16	Neural Network (Specific Model)	11	0.914	164022	379.44593359731954	4082694	0.47	3283	None
D300745:bin_000004	96.82	5.43	Neural Network (Specific Model)	11	0.902	143147	370.16158468729134	5521847	0.41	4493	None
D300747:bin_000027	74.57	26.28	Gradient Boost (General Model)	11	0.85	5222	269.19532554257097	3408280	0.63	3594	None
D300748:bin_000013	93.79	0.01	Gradient Boost (General Model)	11	0.886	39103	340.0577998756992	1850998	0.47	1609	None
D300749:bin_000003	95.57	0.52	Gradient Boost (General Model)	11	0.895	81338	314.34832134292566	1752222	0.39	1668	None
D300749:bin_000012	64.88	3.7	Gradient Boost (General Model)	11	0.871	2998	244.80978532201698	1686194	0.57	2003	None
D300751:bin_000006	96.12	0.9	Gradient Boost (General Model)	11	0.882	10767	294.18672199170123	2408767	0.6	2410	None
D300751:bin_000016	81.29	2.04	Neural Network (Specific Model)	11	0.874	4854	262.6590819929384	2293922	0.45	2549	None
D300751:bin_000033	76.78	6.81	Neural Network (Specific Model)	11	0.91	4314	258.2744897959184	2497999	0.42	2940	None
D300752:bin_000021	88.16	1.88	Gradient Boost (General Model)	11	0.865	9883	320.6763406940063	1760024	0.59	1585	None
D300752:bin_000023	89.16	0.93	Neural Network (Specific Model)	11	0.88	11906	271.1715462031107	2016062	0.37	2186	None
D300752:bin_000042	82.1	39.18	Gradient Boost (General Model)	11	0.899	3534	254.55465487595185	3448957	0.61	4071	None
D300754:bin_000006	95.62	0.94	Gradient Boost (General Model)	11	0.868	8548	306.25748502994014	1764964	0.51	1670	None
D300754:bin_000012	84.74	31.87	Neural Network (Specific Model)	11	0.902	3189	286.82430675909876	8787701	0.42	9232	None
D300756:bin_000015	90.64	0.1	Gradient Boost (General Model)	11	0.883	16697	330.999251497006	1499582	0.53	1336	None
D300756:bin_000041	50.15	0.17	Gradient Boost (General Model)	11	0.893	3026	259.5520246027678	1698756	0.59	1951	None
D300757:bin_000017	93.42	8.8	Gradient Boost (General Model)	11	0.905	8669	283.0180084745763	2650935	0.44	2832	None
D300758:bin_000014	87.1	0.87	Gradient Boost (General Model)	11	0.885	37282	288.6219797349961	1253014	0.3	1283	None
D300759:bin_000015	80.89	1.35	Neural Network (Specific Model)	11	0.889	5987	261.2537410540013	1352445	0.41	1537	None
D300759:bin_000025	83.73	2.91	Gradient Boost (General Model)	11	0.859	12043	295.9807752915222	3273648	0.61	3173	None
D300759:bin_000029	82.7	5.25	Gradient Boost (General Model)	11	0.889	3793	269.19692863595304	2008843	0.6	2214	None
D300759:bin_000039	69.01	15.21	Gradient Boost (General Model)	11	0.897	2924	251.19005328596802	1416460	0.39	1689	None
D300760:bin_000015	97.72	1.27	Gradient Boost (General Model)	11	0.858	151355	317.2041105598866	1562677	0.31	1411	None
D300761:bin_000025	99.98	11.09	Gradient Boost (General Model)	11	0.833	24490	270.95885378398236	2650260	0.26	2722	None
D300762:bin_000027	76.65	22.7	Gradient Boost (General Model)	11	0.896	3639	255.84348028924657	3665026	0.53	4287	None
D300763:bin_000001	99.87	0.14	Neural Network (Specific Model)	11	0.912	47646	298.36261891438164	1748545	0.38	1787	None
D300764:bin_000006	98.46	0.06	Gradient Boost (General Model)	11	0.893	124339	315.6793997271487	2326555	0.55	2199	None
D300766:bin_000019	95.03	9.41	Gradient Boost (General Model)	11	0.882	51031	289.6757075471698	1669148	0.29	1696	None
TM1:bin_000002	99.32	0.05	Gradient Boost (General Model)	11	0.895	50025	332.1025487256372	3704763	0.47	3335	None
TM1:bin_000005	99.39	0.11	Gradient Boost (General Model)	11	0.905	86526	316.4138528138528	2417595	0.44	2310	None
TM1:bin_000011	97.08	0.52	Gradient Boost (General Model)	11	0.878	18384	299.998114097124	2171082	0.61	2121	None
TM1:bin_000084	95.7	12.93	Gradient Boost (General Model)	11	0.891	13880	269.33119777158777	3246741	0.31	3590	None
TM1:bin_000101	92.83	6.96	Gradient Boost (General Model)	11	0.921	16088	300.5322763306908	3449242	0.49	3532	None
TM1:bin_000109	92.3	2.57	Neural Network (Specific Model)	11	0.906	33911	306.44266211604094	2965822	0.46	2930	None
TM1:bin_000125	84.43	11.1	Neural Network (Specific Model)	11	0.881	9257	289.9212924606462	2378374	0.63	2414	None
TM1:bin_000141	95.84	5.24	Gradient Boost (General Model)	11	0.847	17045	304.2784982935154	1576202	0.34	1465	None
TM1:bin_000152	83.13	0.26	Gradient Boost (General Model)	11	0.877	5389	267.9532888465205	1919676	0.62	2098	None
TM1:bin_000162	86.27	3.22	Neural Network (Specific Model)	11	0.902	14253	306.5002004008016	2537690	0.48	2495	None
TM1:bin_000184	81.82	8.12	Gradient Boost (General Model)	11	0.852	15498	290.27482993197276	1500671	0.29	1470	None
TM1:bin_000195	73.3	6.93	Neural Network (Specific Model)	11	0.884	5377	281.80203908241293	2247828	0.64	2354	None
TM1:bin_000197	83.46	1.01	Gradient Boost (General Model)	11	0.888	15140	306.5981256890849	1873986	0.54	1814	None
TM1:bin_000198	80.45	3.8	Gradient Boost (General Model)	11	0.844	16013	284.9552015928323	2031487	0.29	2009	None
TM2:bin_000064	91.91	3.76	Neural Network (Specific Model)	11	0.863	27198	294.82033426183847	2937574	0.44	2872	None
TM2:bin_000104	94.22	2.38	Neural Network (Specific Model)	11	0.904	16977	299.82759719566604	3114446	0.46	3138	None
TM2:bin_000112	90.94	0.21	Gradient Boost (General Model)	11	0.9	18628	286.5649635036496	1306522	0.34	1370	None
TM2:bin_000115	91.36	2.44	Gradient Boost (General Model)	11	0.882	8136	279.091426071741	2164456	0.58	2286	None
TM2:bin_000146	95.12	2.28	Neural Network (Specific Model)	11	0.889	12372	303.7396212672979	2808113	0.46	2746	None
TM2:bin_000166	97.5	10.95	Gradient Boost (General Model)	11	0.892	8167	286.49376375641964	1310214	0.35	1363	None
TM2:bin_000181	91.8	7.0	Gradient Boost (General Model)	11	0.929	83272	297.13224181360204	1521038	0.29	1588	None
TM2:bin_000184	82.69	12.59	Gradient Boost (General Model)	11	0.873	12518	276.7988944459068	3608369	0.55	3799	None
TM2:bin_000185	89.17	2.15	Neural Network (Specific Model)	11	0.885	16562	322.0718904526436	2865419	0.48	2629	None
TM2:bin_000206	90.04	6.38	Neural Network (Specific Model)	11	0.874	24450	280.0764147046675	2324032	0.38	2421	None
TM2:bin_000216	73.3	10.08	Gradient Boost (General Model)	11	0.869	8878	265.3038575667656	1539987	0.28	1685	None
TM2:bin_000227	64.45	4.18	Gradient Boost (General Model)	11	0.863	8223	269.8701449275362	1614762	0.27	1725	None
TM2:bin_000236	65.19	2.61	Gradient Boost (General Model)	11	0.893	7195	297.8150627615063	2385674	0.49	2390	None
TM2:bin_000241	55.97	3.48	Neural Network (Specific Model)	11	0.91	2613	281.1425255338904	1993857	0.55	2154	None
TM3:bin_000004	97.33	1.16	Gradient Boost (General Model)	11	0.9	88990	318.66117647058826	3153189	0.56	2975	None
TM3:bin_000009	97.62	3.17	Gradient Boost (General Model)	11	0.875	38091	309.94232437120553	2445135	0.55	2306	None
TM3:bin_000065	89.1	4.93	Gradient Boost (General Model)	11	0.882	15540	296.1086169442433	2777956	0.28	2762	None
TM3:bin_000106	79.68	4.42	Gradient Boost (General Model)	11	0.871	7543	300.1807297605473	1810447	0.49	1754	None
TM3:bin_000107	86.74	7.56	Neural Network (Specific Model)	11	0.896	8245	274.18895184135977	3232425	0.59	3530	None
TM3:bin_000119	68.32	2.73	Gradient Boost (General Model)	11	0.878	8317	295.4023752969121	2120712	0.56	2105	None
TM3:bin_000132	64.23	0.54	Gradient Boost (General Model)	11	0.884	4197	253.38060606060606	707754	0.31	825	None
TM3:bin_000140	75.04	22.32	Gradient Boost (General Model)	11	0.866	4292	249.77774747750203	3166040	0.62	3667	None
TM4:bin_000020	98.24	4.08	Gradient Boost (General Model)	11	0.872	21039	280.9782734646582	3328163	0.47	3452	None
TM4:bin_000030	99.94	2.03	Neural Network (Specific Model)	11	0.926	137125	324.58736059479554	1974962	0.35	1883	None
TM4:bin_000038	98.18	0.33	Gradient Boost (General Model)	11	0.889	67038	312.22605169792195	2074418	0.42	1973	None
TM4:bin_000076	94.04	0.28	Gradient Boost (General Model)	11	0.887	16225	341.0662921348315	2049716	0.55	1780	None
TM4:bin_000079	100.0	3.31	Gradient Boost (General Model)	11	0.906	16346	307.9542177361211	2823662	0.52	2774	None
TM4:bin_000087	91.47	0.01	Gradient Boost (General Model)	11	0.877	30389	330.86671270718233	1637502	0.58	1448	None
TM4:bin_000094	89.76	0.76	Gradient Boost (General Model)	11	0.835	10416	286.97927689594354	2335563	0.6	2268	None
